"","count.P"
"1553212_at",85
"1553215_s_at",85
"1553221_at",85
"1553222_at",85
"1553224_at",64
"1553225_s_at",85
"1553235_at",84
"1553239_at",81
"1553241_at",83
"1553244_at",85
"1553247_a_at",85
"1553257_at",83
"1553263_at",75
"1553264_a_at",85
"1553279_at",73
"1553284_s_at",71
"1553292_s_at",85
"1553301_a_at",79
"1553303_at",84
"1553310_at",84
"1553317_s_at",84
"1553319_at",76
"1553320_s_at",66
"1553326_at",64
"1553333_at",84
"1553348_a_at",82
"1553356_at",83
"1553367_a_at",85
"1553376_a_at",85
"1553391_at",78
"1553396_a_at",85
"1553403_at",76
"1553405_a_at",74
"1553407_at",85
"1553409_at",65
"1553410_a_at",73
"1553411_s_at",79
"1553423_a_at",80
"1553426_at",85
"1553429_at",85
"1553430_a_at",85
"1553441_at",82
"1553446_at",81
"1553447_at",85
"1553460_at",65
"1553466_at",81
"1553470_at",85
"1553474_at",85
"1553482_at",84
"1553485_at",65
"1553486_a_at",81
"1553489_a_at",85
"1553494_at",72
"1553498_at",85
"1553505_at",83
"1553511_at",85
"1553528_a_at",67
"1553530_a_at",76
"1553535_a_at",73
"1553552_at",84
"1553555_at",85
"1553565_s_at",81
"1553573_s_at",85
"1553587_a_at",83
"1553589_a_at",77
"1553592_x_at",82
"1553604_at",71
"1553607_at",78
"1553612_at",82
"1553618_at",85
"1553634_a_at",71
"1553644_at",78
"1553645_at",84
"1553646_at",75
"1553651_at",85
"1553654_at",85
"1553670_at",69
"1553673_at",85
"1553674_at",70
"1553675_at",76
"1553685_s_at",85
"1553696_s_at",83
"1553698_a_at",74
"1553709_a_at",84
"1553727_at",80
"1553736_at",85
"1553740_a_at",70
"1553755_at",64
"1553778_at",79
"1553785_at",78
"1553793_a_at",85
"1553796_at",81
"1553799_at",85
"1553803_at",85
"1553810_a_at",81
"1553817_at",85
"1553823_a_at",84
"1553832_at",85
"1553835_a_at",72
"1553837_at",85
"1553845_x_at",81
"1553846_at",77
"1553851_at",84
"1553857_at",85
"1553869_at",79
"1553880_at",81
"1553882_at",85
"1553886_at",71
"1553887_at",83
"1553893_at",84
"1553898_a_at",85
"1553917_at",68
"1553943_at",80
"1553993_s_at",85
"1553995_a_at",78
"1553998_at",85
"1554001_at",85
"1554004_a_at",67
"1554010_at",75
"1554039_at",65
"1554076_s_at",74
"1554095_at",81
"1554098_at",77
"1554099_a_at",82
"1554102_a_at",74
"1554119_at",74
"1554121_at",75
"1554122_a_at",85
"1554127_s_at",85
"1554131_at",85
"1554158_at",76
"1554159_a_at",73
"1554167_a_at",82
"1554170_a_at",84
"1554194_at",77
"1554205_s_at",85
"1554212_s_at",82
"1554231_a_at",85
"1554258_a_at",69
"1554273_a_at",85
"1554276_at",68
"1554283_at",84
"1554298_a_at",82
"1554308_s_at",83
"1554312_at",79
"1554316_at",85
"1554327_a_at",68
"1554355_a_at",82
"1554377_a_at",80
"1554382_at",85
"1554394_at",85
"1554401_a_at",65
"1554419_x_at",77
"1554430_at",84
"1554432_x_at",84
"1554438_at",78
"1554451_s_at",72
"1554456_a_at",84
"1554460_at",83
"1554462_a_at",85
"1554469_at",81
"1554482_a_at",81
"1554488_at",64
"1554494_at",85
"1554495_s_at",69
"1554506_x_at",85
"1554516_at",84
"1554569_a_at",85
"1554583_a_at",78
"1554586_a_at",85
"1554613_a_at",85
"1554623_x_at",82
"1554649_at",72
"1554659_at",79
"1554675_a_at",85
"1554678_s_at",85
"1554696_s_at",85
"1554700_at",68
"1554762_a_at",70
"1554771_at",85
"1554774_at",65
"1554777_at",85
"1554786_at",81
"1554787_at",65
"1554789_a_at",85
"1554830_a_at",71
"1554862_at",83
"1554864_a_at",76
"1554866_at",82
"1554871_at",82
"1554895_a_at",85
"1554911_at",67
"1554919_s_at",74
"1554920_at",85
"1554932_at",81
"1554949_at",70
"1554958_at",85
"1554964_x_at",65
"1554982_a_at",68
"1555034_at",85
"1555052_a_at",84
"1555053_at",67
"1555106_a_at",64
"1555141_a_at",75
"1555194_at",81
"1555214_a_at",81
"1555241_at",81
"1555252_a_at",77
"1555266_a_at",73
"1555267_at",68
"1555281_x_at",75
"1555322_at",78
"1555325_s_at",85
"1555384_a_at",85
"1555420_a_at",76
"1555439_at",83
"1555450_a_at",82
"1555523_a_at",81
"1555572_at",77
"1555611_s_at",76
"1555653_at",70
"1555708_a_at",78
"1555728_a_at",79
"1555729_a_at",75
"1555759_a_at",85
"1555765_a_at",69
"1555780_a_at",73
"1555827_at",85
"1555855_at",85
"1555963_x_at",85
"1555972_s_at",83
"1555994_at",74
"1555997_s_at",73
"1556001_at",65
"1556007_s_at",73
"1556029_s_at",66
"1556037_s_at",72
"1556065_at",72
"1556072_at",64
"1556081_at",67
"1556253_s_at",67
"1556284_at",85
"1556378_a_at",70
"1556381_at",79
"1556382_a_at",78
"1556397_at",83
"1556467_at",82
"1556473_at",79
"1556489_at",85
"1556521_a_at",76
"1556536_at",67
"1556538_at",76
"1556584_at",76
"1556633_at",84
"1556665_at",85
"1556706_at",66
"1556757_a_at",82
"1556770_a_at",84
"1556815_at",85
"1556821_x_at",85
"1556947_at",85
"1556950_s_at",72
"1557029_at",83
"1557062_at",70
"1557197_a_at",67
"1557380_at",79
"1557383_a_at",79
"1557400_at",84
"1557402_at",85
"1557431_at",65
"1557513_a_at",85
"1557517_a_at",78
"1557567_a_at",85
"1557677_a_at",77
"1557713_at",68
"1557818_x_at",83
"1558117_s_at",85
"1558119_at",69
"1558273_a_at",84
"1558437_at",82
"1558662_s_at",67
"1558893_a_at",85
"1559067_a_at",85
"1559134_a_at",74
"1559274_at",83
"1559342_a_at",79
"1559444_at",78
"1559590_at",85
"1559683_at",84
"1559689_a_at",74
"1559709_at",85
"1559732_at",85
"1559925_s_at",83
"1559930_at",70
"1560214_at",80
"1560342_at",80
"1560353_at",85
"1560486_at",85
"1560493_a_at",65
"1560582_a_at",85
"1560648_s_at",69
"1560906_at",77
"1560929_at",64
"1561082_at",85
"1561303_at",79
"1561408_at",66
"1561482_at",77
"1561491_at",76
"1561618_at",85
"1561714_a_at",85
"1561789_at",81
"1562053_at",84
"1562055_at",85
"1562106_at",83
"1562488_at",84
"1562643_at",85
"1562684_at",70
"1562697_at",85
"1562698_x_at",84
"1562805_at",85
"1562919_at",85
"1562969_at",76
"1563077_at",75
"1563185_at",76
"1563186_at",80
"1563327_a_at",85
"1563531_at",79
"1563646_a_at",83
"1563654_at",84
"1563685_at",83
"1563745_a_at",71
"1563750_at",78
"1563816_at",85
"1563872_at",74
"1564208_x_at",85
"1564264_at",85
"1564473_at",85
"1564603_at",84
"1565000_a_at",85
"1565559_at",70
"1565577_s_at",70
"1565684_at",75
"1565735_at",66
"1565900_at",85
"1566099_at",83
"1566134_at",79
"1566149_at",83
"1566157_x_at",84
"1566158_at",76
"1566162_x_at",80
"1566176_at",82
"1566177_at",85
"1566186_at",83
"1566190_at",85
"1566201_at",77
"1566202_at",85
"1566203_at",81
"1566204_at",70
"1566207_at",74
"1566209_at",85
"1566210_at",65
"1566215_at",75
"1566222_at",84
"1566231_at",85
"1566232_at",85
"1566243_at",78
"1566249_at",85
"1566257_at",84
"1566265_at",85
"1566266_at",84
"1566268_at",85
"1566269_at",85
"1566284_at",84
"1566285_at",79
"1566289_at",85
"1566294_at",76
"1566302_at",85
"1566323_at",80
"1566339_at",85
"1566362_at",85
"1566402_at",85
"1566427_at",85
"1566428_at",85
"1566432_at",83
"1566433_at",68
"1566452_at",85
"1566455_at",76
"1566459_at",80
"1566461_at",85
"1566468_at",79
"1566471_at",84
"1566476_at",66
"1566477_at",84
"1566478_at",85
"1566480_x_at",85
"1566484_at",81
"1566490_at",85
"1566499_at",73
"1566502_at",85
"1566503_at",65
"1566504_at",69
"1566505_at",85
"1566518_at",85
"1566526_at",85
"1566527_at",70
"1566528_at",85
"1566543_at",85
"1566549_at",81
"1566550_at",85
"1566551_at",85
"1566555_at",84
"1566576_at",80
"1566577_at",73
"1566580_at",83
"1566585_at",85
"1566586_at",85
"1566606_a_at",68
"1566609_at",66
"1566622_at",82
"1566631_at",82
"1566637_at",85
"1566646_at",73
"1566653_at",66
"1566666_at",85
"1566670_at",85
"1566688_at",85
"1566689_at",85
"1566691_at",80
"1566702_at",85
"1566722_a_at",85
"1566725_at",74
"1566727_at",80
"1566728_at",85
"1566734_at",71
"1566761_a_at",85
"1566767_at",85
"1566772_at",78
"1566834_at",66
"1566837_at",85
"1566839_at",85
"1566843_at",84
"1566848_x_at",64
"1566863_at",76
"1566865_at",83
"1566867_at",80
"1566868_at",82
"1566869_at",80
"1566879_at",85
"1566898_at",71
"1566899_at",75
"1566906_at",85
"1566930_at",85
"1566958_at",84
"1566963_at",85
"1566966_at",85
"1566974_at",84
"1566981_at",73
"1566984_at",76
"1567008_at",84
"1567011_at",79
"1567023_at",84
"1567032_s_at",85
"1567058_at",82
"1567065_at",85
"1567079_at",75
"1567105_at",82
"1567174_at",77
"1567182_at",85
"1567251_at",85
"1567252_at",85
"1567254_at",85
"1567257_at",71
"1567271_at",80
"1567272_at",82
"1567273_at",82
"1567280_at",85
"1567303_at",83
"1567334_at",82
"1567378_x_at",71
"1567440_at",84
"1567519_at",75
"1567539_at",85
"1567576_at",74
"1567657_at",85
"1567686_at",85
"1568191_at",85
"1568248_x_at",85
"1568249_at",84
