"","count.P"
"1316_at",99
"1320_at",99
"1405_i_at",99
"1552280_at",99
"1552281_at",99
"1552283_s_at",99
"1552286_at",99
"1552315_at",99
"1552316_a_at",99
"1552318_at",99
"1552319_a_at",99
"1552320_a_at",99
"1552321_a_at",99
"1552326_a_at",99
"1552327_at",98
"1552367_a_at",90
"1552368_at",99
"1552370_at",99
"1552372_at",99
"1552373_s_at",83
"1552375_at",99
"1552377_s_at",99
"1552379_at",99
"1552381_at",99
"1552383_at",99
"1552384_a_at",99
"1552386_at",99
"1552388_at",98
"1552389_at",99
"1552390_a_at",99
"1552391_at",99
"1552393_at",99
"1552394_a_at",99
"1552396_at",99
"1552398_a_at",99
"1552399_a_at",99
"1552400_a_at",99
"1552401_a_at",99
"1552402_at",99
"1552405_at",99
"1552408_at",99
"1552409_a_at",99
"1552410_at",99
"1552411_at",99
"1552412_a_at",99
"1552414_at",99
"1552415_a_at",99
"1552418_at",98
"1552419_s_at",99
"1552421_a_at",99
"1552423_at",98
"1552424_at",99
"1552426_a_at",99
"1552427_at",78
"1552432_at",83
"1552436_a_at",90
"1552438_a_at",99
"1552455_at",99
"1552456_a_at",95
"1552457_a_at",99
"1552458_at",99
"1552459_a_at",99
"1552461_at",99
"1552463_at",99
"1552466_x_at",99
"1552467_at",99
"1552470_a_at",99
"1552472_a_at",99
"1552477_a_at",85
"1552478_a_at",98
"1552480_s_at",99
"1552484_at",99
"1552487_a_at",99
"1552489_s_at",99
"1552490_at",99
"1552491_at",97
"1552493_s_at",98
"1552494_at",99
"1552496_a_at",99
"1552497_a_at",99
"1552498_at",99
"1552499_a_at",99
"1552501_a_at",99
"1552502_s_at",99
"1552503_at",99
"1552504_a_at",99
"1552506_at",99
"1552507_at",99
"1552508_at",93
"1552509_a_at",99
"1552511_a_at",99
"1552515_at",99
"1552516_a_at",91
"1552521_a_at",99
"1552524_at",99
"1552526_at",99
"1552531_a_at",99
"1552536_at",99
"1552540_s_at",99
"1552542_s_at",91
"1552543_a_at",99
"1552544_at",99
"1552552_s_at",98
"1552554_a_at",89
"1552555_at",84
"1552559_a_at",99
"1552562_at",79
"1552563_a_at",99
"1552564_at",99
"1552569_a_at",99
"1552570_at",99
"1552573_s_at",99
"1552575_a_at",97
"1552580_at",99
"1552582_at",99
"1552583_s_at",99
"1552584_at",85
"1552585_s_at",99
"1552587_at",99
"1552588_a_at",99
"1552592_at",85
"1552594_at",98
"1552598_at",84
"1552599_at",99
"1552604_at",99
"1552605_s_at",98
"1552607_at",99
"1552609_s_at",99
"1552615_at",99
"1552616_a_at",99
"1552618_at",99
"1552621_at",99
"1552627_a_at",99
"1552628_a_at",99
"1552629_a_at",99
"1552631_a_at",99
"1552633_at",94
"1552634_a_at",99
"1552637_at",99
"1552639_at",94
"1552646_at",98
"1552651_a_at",99
"1552656_s_at",97
"1552658_a_at",99
"1552660_a_at",95
"1552662_a_at",84
"1552670_a_at",99
"1552672_a_at",99
"1552676_at",89
"1552678_a_at",99
"1552682_a_at",98
"1552684_a_at",99
"1552685_a_at",99
"1552686_at",99
"1552687_a_at",99
"1552689_at",99
"1552695_a_at",91
"1552698_at",99
"1552701_a_at",99
"1552705_at",98
"1552708_a_at",80
"1552716_at",99
"1552717_s_at",98
"1552719_at",99
"1552722_at",96
"1552724_at",99
"1552726_at",94
"1552729_at",95
"1552730_at",99
"1552732_at",99
"1552733_at",93
"1552734_at",98
"1552738_a_at",97
"1552749_a_at",99
"1552750_at",99
"1552751_a_at",99
"1552758_at",99
"1552765_x_at",86
"1552766_at",99
"1552767_a_at",99
"1552768_at",99
"1552770_s_at",97
"1552771_a_at",95
"1552772_at",99
"1552773_at",99
"1552774_a_at",99
"1552775_at",97
"1552783_at",78
"1552785_at",98
"1552787_at",99
"1552789_at",80
"1552791_a_at",99
"1552792_at",84
"1552793_at",99
"1552794_a_at",99
"1552797_s_at",97
"1552799_at",94
"1552801_at",99
"1552804_a_at",93
"1552806_a_at",99
"1552808_at",91
"1552809_at",99
"1552812_a_at",99
"1552813_at",99
"1552814_a_at",99
"1552825_at",97
"1552826_at",99
"1552827_s_at",99
"1552828_at",99
"1552830_at",88
"1552833_at",99
"1552834_at",99
"1552837_at",81
"1552846_s_at",97
"1552848_a_at",86
"1552849_at",99
"1552854_a_at",85
"1552856_at",98
"1552857_a_at",99
"1552865_a_at",82
"1552868_at",99
"1552870_s_at",89
"1552872_at",96
"1552873_s_at",99
"1552875_a_at",94
"1552884_at",99
"1552897_a_at",99
"1552900_a_at",99
"1552902_a_at",99
"1552903_at",99
"1552906_at",96
"1552911_at",91
"1552912_a_at",99
"1552915_at",98
"1552917_at",97
"1552922_at",95
"1552924_a_at",99
"1552927_at",99
"1552930_at",98
"1552932_at",99
"1552937_s_at",87
"1552940_at",90
"1552948_at",76
"1552954_at",99
"1552955_at",96
"1552957_at",97
"1552960_at",99
"1552965_a_at",99
"1552972_at",84
"1552973_at",94
"1552977_a_at",99
"1552978_a_at",99
"1552988_at",99
"1552993_at",99
"1552995_at",99
"1553002_at",97
"1553003_at",87
"1553004_at",95
"1553006_at",96
"1553007_a_at",97
"1553009_s_at",76
"1553011_at",80
"1553013_at",97
"1553015_a_at",99
"1553021_s_at",96
"1553027_a_at",99
"1553030_a_at",98
"1553033_at",99
"1553034_at",99
"1553036_at",96
"1553037_a_at",99
"1553039_a_at",92
"1553044_at",77
"1553045_at",99
"1553046_s_at",96
"1553048_a_at",99
"1553051_s_at",93
"1553052_at",89
"1553053_at",99
"1553058_at",99
"1553060_at",75
"1553061_at",85
"1553062_at",97
"1553067_a_at",99
"1553071_a_at",90
"1553072_at",88
"1553080_at",95
"1553082_at",87
"1553084_at",97
"1553086_at",95
"1553088_a_at",99
"1553089_a_at",80
"1553093_a_at",94
"1553094_at",98
"1553108_at",95
"1553112_s_at",99
"1553113_s_at",99
"1553114_a_at",96
"1553122_s_at",79
"1553123_at",95
"1553125_x_at",99
"1553126_a_at",99
"1553127_a_at",95
"1553129_at",99
"1553130_at",99
"1553146_at",99
"1553148_a_at",99
"1553151_at",98
"1553156_at",98
"1553171_x_at",99
"1553175_s_at",92
"1553178_a_at",99
"1553188_s_at",75
"1553196_a_at",99
"1553199_at",92
"1553205_at",85
"1553207_at",99
"1553209_at",98
"1553212_at",99
"1553215_s_at",99
"1553221_at",99
"1553222_at",96
"1553225_s_at",99
"1553235_at",96
"1553239_at",98
"1553241_at",99
"1553244_at",99
"1553247_a_at",99
"1553257_at",94
"1553262_a_at",88
"1553263_at",97
"1553264_a_at",99
"1553279_at",89
"1553284_s_at",89
"1553292_s_at",99
"1553301_a_at",95
"1553303_at",97
"1553310_at",99
"1553317_s_at",99
"1553319_at",97
"1553320_s_at",79
"1553333_at",99
"1553348_a_at",98
"1553356_at",98
"1553367_a_at",99
"1553376_a_at",99
"1553391_at",97
"1553396_a_at",99
"1553403_at",95
"1553405_a_at",86
"1553407_at",99
"1553410_a_at",84
"1553411_s_at",91
"1553423_a_at",94
"1553426_at",99
"1553429_at",99
"1553430_a_at",99
"1553441_at",82
"1553446_at",92
"1553447_at",99
"1553460_at",81
"1553466_at",92
"1553470_at",99
"1553474_at",98
"1553482_at",99
"1553486_a_at",95
"1553489_a_at",99
"1553494_at",92
"1553498_at",99
"1553505_at",99
"1553511_at",99
"1553528_a_at",81
"1553530_a_at",84
"1553535_a_at",90
"1553545_at",88
"1553552_at",98
"1553555_at",99
"1553565_s_at",98
"1553573_s_at",99
"1553586_at",89
"1553587_a_at",95
"1553589_a_at",90
"1553592_x_at",98
"1553604_at",77
"1553607_at",90
"1553612_at",99
"1553618_at",99
"1553623_at",87
"1553634_a_at",84
"1553644_at",99
"1553645_at",97
"1553646_at",96
"1553651_at",99
"1553654_at",97
"1553673_at",99
"1553674_at",86
"1553685_s_at",99
"1553696_s_at",97
"1553709_a_at",97
"1553727_at",94
"1553736_at",99
"1553740_a_at",82
"1553750_a_at",82
"1553755_at",91
"1553778_at",97
"1553785_at",95
"1553793_a_at",97
"1553796_at",91
"1553797_a_at",87
"1553799_at",96
"1553803_at",99
"1553808_a_at",86
"1553810_a_at",97
"1553817_at",99
"1553823_a_at",98
"1553832_at",99
"1553835_a_at",90
"1553837_at",99
"1553845_x_at",91
"1553846_at",95
"1553851_at",98
"1553857_at",99
"1553869_at",88
"1553880_at",90
"1553882_at",97
"1553886_at",84
"1553887_at",97
"1553893_at",99
"1553895_at",95
"1553898_a_at",99
"1553917_at",93
"1553943_at",97
"1553968_a_at",77
"1553971_a_at",79
"1553993_s_at",99
"1553995_a_at",97
"1553998_at",99
"1554001_at",97
"1554010_at",87
"1554076_s_at",87
"1554095_at",99
"1554098_at",93
"1554099_a_at",98
"1554101_a_at",81
"1554102_a_at",87
"1554119_at",97
"1554121_at",99
"1554122_a_at",99
"1554127_s_at",98
"1554131_at",99
"1554158_at",98
"1554159_a_at",98
"1554167_a_at",93
"1554170_a_at",99
"1554194_at",84
"1554198_at",86
"1554205_s_at",99
"1554212_s_at",94
"1554231_a_at",99
"1554258_a_at",91
"1554260_a_at",82
"1554273_a_at",99
"1554283_at",99
"1554285_at",86
"1554298_a_at",99
"1554308_s_at",98
"1554312_at",93
"1554316_at",99
"1554355_a_at",93
"1554377_a_at",97
"1554382_at",99
"1554394_at",99
"1554401_a_at",93
"1554419_x_at",81
"1554430_at",99
"1554432_x_at",99
"1554438_at",96
"1554447_at",78
"1554450_s_at",75
"1554451_s_at",85
"1554456_a_at",99
"1554460_at",98
"1554462_a_at",99
"1554469_at",89
"1554482_a_at",99
"1554493_s_at",84
"1554494_at",99
"1554495_s_at",93
"1554506_x_at",99
"1554516_at",98
"1554569_a_at",99
"1554578_at",82
"1554579_a_at",77
"1554583_a_at",84
"1554586_a_at",99
"1554613_a_at",99
"1554623_x_at",97
"1554625_at",77
"1554649_at",97
"1554659_at",83
"1554675_a_at",97
"1554678_s_at",99
"1554696_s_at",98
"1554700_at",77
"1554762_a_at",76
"1554771_at",99
"1554777_at",99
"1554786_at",96
"1554789_a_at",99
"1554808_at",82
"1554830_a_at",87
"1554862_at",97
"1554866_at",96
"1554871_at",98
"1554895_a_at",99
"1554919_s_at",95
"1554920_at",99
"1554932_at",99
"1554949_at",97
"1554958_at",99
"1554982_a_at",97
"1555034_at",99
"1555039_a_at",75
"1555052_a_at",90
"1555076_at",79
"1555141_a_at",79
"1555157_at",78
"1555168_a_at",83
"1555194_at",99
"1555214_a_at",86
"1555241_at",93
"1555252_a_at",78
"1555266_a_at",92
"1555267_at",83
"1555281_x_at",98
"1555322_at",82
"1555325_s_at",99
"1555384_a_at",99
"1555420_a_at",97
"1555439_at",99
"1555450_a_at",98
"1555515_a_at",75
"1555523_a_at",98
"1555572_at",95
"1555611_s_at",81
"1555653_at",89
"1555687_a_at",76
"1555708_a_at",97
"1555728_a_at",90
"1555729_a_at",86
"1555759_a_at",99
"1555765_a_at",86
"1555779_a_at",75
"1555780_a_at",92
"1555827_at",99
"1555855_at",99
"1555860_x_at",82
"1555945_s_at",93
"1555963_x_at",99
"1555972_s_at",98
"1555994_at",94
"1556001_at",75
"1556007_s_at",88
"1556017_at",82
"1556029_s_at",92
"1556037_s_at",97
"1556065_at",91
"1556072_at",76
"1556081_at",88
"1556086_at",85
"1556199_a_at",79
"1556250_at",84
"1556253_s_at",93
"1556284_at",95
"1556378_a_at",91
"1556381_at",98
"1556382_a_at",98
"1556397_at",88
"1556409_a_at",85
"1556467_at",90
"1556473_at",89
"1556489_at",99
"1556521_a_at",92
"1556538_at",95
"1556580_a_at",88
"1556584_at",98
"1556633_at",99
"1556665_at",99
"1556706_at",91
"1556757_a_at",98
"1556770_a_at",98
"1556815_at",98
"1556821_x_at",99
"1556909_at",79
"1556947_at",99
"1556950_s_at",78
"1557029_at",93
"1557062_at",86
"1557099_at",76
"1557197_a_at",94
"1557380_at",97
"1557383_a_at",99
"1557400_at",99
"1557402_at",99
"1557418_at",84
"1557431_at",88
"1557513_a_at",99
"1557517_a_at",98
"1557527_at",79
"1557567_a_at",99
"1557677_a_at",93
"1557713_at",90
"1557751_at",80
"1557818_x_at",99
"1558117_s_at",99
"1558273_a_at",95
"1558437_at",95
"1558662_s_at",78
"1558670_at",85
"1558893_a_at",99
"1559067_a_at",99
"1559134_a_at",80
"1559274_at",98
"1559342_a_at",90
"1559354_a_at",84
"1559444_at",94
"1559590_at",99
"1559683_at",98
"1559689_a_at",87
"1559709_at",96
"1559732_at",99
"1559795_at",87
"1559925_s_at",98
"1560214_at",93
"1560342_at",98
"1560353_at",99
"1560486_at",99
"1560493_a_at",83
"1560582_a_at",99
"1560648_s_at",95
"1560792_at",77
"1560906_at",91
"1561082_at",99
