"","count.P"
"1553113_s_at",130
"1553114_a_at",129
"1553122_s_at",119
"1553123_at",128
"1553125_x_at",130
"1553126_a_at",130
"1553127_a_at",112
"1553129_at",130
"1553130_at",122
"1553138_a_at",115
"1553146_at",125
"1553148_a_at",130
"1553151_at",124
"1553156_at",128
"1553168_at",101
"1553171_x_at",130
"1553175_s_at",130
"1553178_a_at",129
"1553186_x_at",99
"1553188_s_at",116
"1553196_a_at",130
"1553199_at",126
"1553204_at",128
"1553205_at",109
"1553207_at",130
"1553209_at",130
"1553212_at",130
"1553214_a_at",103
"1553215_s_at",130
"1553221_at",130
"1553222_at",129
"1553224_at",126
"1553225_s_at",130
"1553235_at",125
"1553239_at",120
"1553241_at",126
"1553244_at",130
"1553247_a_at",130
"1553257_at",126
"1553263_at",128
"1553264_a_at",130
"1553267_a_at",98
"1553279_at",123
"1553284_s_at",98
"1553292_s_at",130
"1553299_at",113
"1553301_a_at",128
"1553303_at",130
"1553310_at",130
"1553317_s_at",129
"1553326_at",113
"1553333_at",130
"1553347_s_at",110
"1553348_a_at",129
"1553356_at",130
"1553367_a_at",130
"1553374_at",120
"1553376_a_at",130
"1553386_at",101
"1553391_at",118
"1553396_a_at",130
"1553403_at",125
"1553405_a_at",107
"1553407_at",130
"1553410_a_at",100
"1553411_s_at",102
"1553423_a_at",130
"1553426_at",130
"1553429_at",130
"1553430_a_at",130
"1553441_at",129
"1553446_at",126
"1553447_at",130
"1553451_at",105
"1553466_at",125
"1553470_at",130
"1553474_at",130
"1553482_at",130
"1553485_at",111
"1553486_a_at",126
"1553489_a_at",130
"1553494_at",117
"1553498_at",130
"1553499_s_at",100
"1553502_a_at",110
"1553505_at",130
"1553506_at",117
"1553511_at",130
"1553528_a_at",121
"1553530_a_at",117
"1553531_at",114
"1553535_a_at",108
"1553545_at",106
"1553552_at",130
"1553553_at",102
"1553555_at",130
"1553565_s_at",127
"1553573_s_at",130
"1553587_a_at",130
"1553589_a_at",118
"1553592_x_at",127
"1553604_at",122
"1553607_at",128
"1553612_at",124
"1553618_at",130
"1553619_a_at",111
"1553622_a_at",109
"1553644_at",109
"1553645_at",129
"1553646_at",124
"1553651_at",130
"1553654_at",126
"1553670_at",124
"1553673_at",130
"1553674_at",122
"1553675_at",123
"1553685_s_at",130
"1553696_s_at",124
"1553697_at",100
"1553698_a_at",129
"1553708_at",118
"1553709_a_at",129
"1553727_at",125
"1553736_at",130
"1553740_a_at",112
"1553755_at",104
"1553778_at",115
"1553785_at",98
"1553793_a_at",130
"1553796_at",128
"1553799_at",130
"1553803_at",130
"1553808_a_at",115
"1553810_a_at",108
"1553817_at",130
"1553823_a_at",124
"1553832_at",130
"1553835_a_at",120
"1553837_at",130
"1553845_x_at",127
"1553846_at",111
"1553851_at",130
"1553857_at",130
"1553869_at",129
"1553880_at",114
"1553882_at",128
"1553885_x_at",118
"1553886_at",104
"1553887_at",127
"1553893_at",129
"1553898_a_at",130
"1553917_at",108
